Folder,LoadBalancer,Language,Framework,Database
0000-golang,nginx,GO,unknown,postgres
1garo,nginx,go,unknown,postgres
4emcos-golang,nginx,Go,unknown,postgres
4emcos-nodejs,nginx,NodeJs,unknown,postgres
abel-golang,nginx,golang,unknown,postgresql
abraaolevi,nginx,Go,unknown,postgres
accerqueira-bash,nginx,bash,unknown,postgres
accerqueira-redbean-atw-down,redbean,unknown,redbean,redbean
acdesouza,nginx,Ruby_on_Rails,unknown,postgresql
acerola,nginx,ruby,unknown,postgresql
adamatti-bun,nginx,bun,express,PostgreSQL
adamatti-golang,nginx,golang,fiber,PostgreSQL
adamatti-node,nginx,javascript,express,PostgreSQL
adolfoweloy,nginx,java,unknown,postgres
adrian-e-henrique,nginx,typescript,unknown,postgresql
adrianbueno-rocket,nginx,rust,unknown,mongodb
adriano-moreira,nginx,Java/Kotlin,unknown,Postgresql
adrianog3,nginx,java,unknown,postgres
agostinho,nginx,ruby,unknown,postgresql
agpsl,nginx,golang,unknown,postgres
alanlviana-aspnet,nginx,dotnet_core,aspnet,postgres
alan_albuquerque,nginx,.NET,unknown,Postgresql
alan_albuquerque_capivara,custom,dotnet,unknown,custom
alan_albuquerque_capivara_JIT,custom,dotnet,unknown,CapivaraDB
albert-js,nginx,node.js,unknown,postgres
alcides-kotlin,nginx,kotlin,unknown,postgres
alcides-quarkus,nginx,java,unknown,postgres
AlcivanLucas,nginx,Node.js,unknown,PostgreSQL
alexandrepossebom-golang,nginx,golang,unknown,postgres
alexandrepossebom-rust,nginx,rust,unknown,postgres
alexmarquesfa-kotlin,nginx,kotlin,unknown,postgres
alexsiilvaa,nginx,.NET,unknown,PostgreSQL
alfrederson-go,custom,Go,unknown,unknown
alfredomorais,nginx,python,unknown,postgres
alissonsleal,nginx,unknown,bun,PostgreSQL
alissonsleal_go,nginx,go,unknown,PostgreSQL
allissonazevedo-golang,nginx,golang,gin_web_framework,postgres
allissonazevedo-python,nginx,python,unknown,postgres
andarilhoz,nginx,unknown,drogon,postgres
anderkonzen,nginx,elixir,phoenix,postgres
andersonef,nginx,Node,unknown,postgres
andersonfernandes-ruby,nginx,ruby,unknown,postgres
andersonhqds-node,nginx,nodejs,unknown,postgres
andre-e-gustavo,nginx,rust,actix,postgres
andre-gbi-aspnet,nginx,c#,aspnet,postgres
andre-lucas-io,nginx,scala,unknown,postgres
andre1999lopes,nginx,Go,unknown,postgres
andre237,nginx,java,unknown,postgres
andreluizsgf,nginx,golang,unknown,postgres
andrenbrandao,nginx,go,unknown,postgres
andrepiske-01,traefik,ruby,unknown,mongodb
andrepraeiro,nginx,dotnet,unknown,postgres
andresantos-tech-PHP,nginx,php,unknown,postgres
andresantos-tech-PHP2,nginx,php,unknown,postgres
andretpc,custom,rust,unknown,mongodb
andrew-vasco,nginx,kotlin,unknown,postgres
anibal.ferreira,nginx,rust,unknown,postgres
antoniogdelrio,nginx,node.js,unknown,postgres
antunesleo-python,nginx,python,unknown,postgres
arrudaricardo-01,nginx,unknown,bun,PostgreSQL
arrudaricardo-02,nginx,go,unknown,postgreSQL
arthur-rust-go-c,custom,rust,unknown,custom
arthurqueiroz4,golang,golang,unknown,postgres
arthurzapparoli,envoy,rust,unknown,postgres
asfernandes-cpp-haproxy-mongoose-firebird,haproxy,cpp,mongoose,firebird
asfernandes-cpp-haproxy-mongoose-lmdb,haproxy,cpp,mongoose,lmdb
asfernandes-cpp-haproxy-mongoose-pgsql,haproxy,cpp,mongoose,postgresql
athayr,nginx,python,fastapi,postgres
avalonbits,custom,go,echo,sqlite
avelfir-java,nginx,java,unknown,postgres
avinho,nginx,quarkus,unknown,postgres
aysion_bun,nginx,unknown,bun,SQLite
aysion_nodejs,nginx,nodeJS,unknown,mariaDB
bbeluco,nginx,dotnet,unknown,postgres
bbonagura9,nginx,go,gin,postgres
bcaua,custom,.NET_Core,unknown,PostgreSQL
bgskurono,nginx,Golang,Gin,Postgresql
biigode,nginx,node.js,unknown,PostgreSQL
bine-golang,nginx,go,unknown,postgres
bine-php-hyperf,nginx,php,unknown,mariadb
bine-php-laravel,nginx,php,unknown,postgres
bine-php-road-runner,nginx,php,unknown,postgres
bine-php-swoole,nginx,php,swoole,postgres
bine-reactphp,nginx,php,unknown,postgres
boaglio-canabrava-procs,custom,bash,unknown,postgres
boaglio-curvaderio,custom,java,unknown,mongodb
boaglio-jaiminho,custom,java,unknown,postgres
BrayaOrtega,custom,.NET,unknown,PostgreSQL
brendonmatos-bun,nginx,TypeScript,Bun,PostgreSQL
breno5g,nginx,go,unknown,postgres
brenonaraujo,nginx,golang,gin,postgresql
brilvio,nginx,rust,unknown,postgres
brunocamarggo,nginx,java,unknown,postgres
brunocamarggo-golang,nginx,golang,unknown,postgres
brunodelucasbarbosa,custom,golang,unknown,unknown
brunolipe-a,nginx,nodejs,unknown,postgres
brunoquinelato,nginx,csharp,unknown,postgres
buemura,nginx,go,echo,PostgreSQL
buemura-nestjs,nginx,Node,unknown,PostgreSQL
buemura-quarkus,nginx,java,unknown,postgres
bun-saulofelipe,nginx,typescript,unknown,sqlite
cacambito,nginx,unknown,nestjs,postgres
cadu,custom,rust,unknown,postgres
caique,custom,python,unknown,postgres
cairocampos98,nginx,unknown,bun,postgres
canabrava,custom,bash,unknown,postgres
caravanacloud,nginx,unknown,quarkus,postgres
carijo-slim,nginx,node.js,unknown,postgres
carioca-tech,nginx,java,unknown,postgres
carlosdemarco,nginx,java,webflux,postgres
carloseduard0,nginx,dotnet,unknown,postgres
carls-rodrigues,nginx,rust,unknown,postgres
carlsonsantana-springboot,nginx,java,unknown,postgres
carolinejk-fastapi,nginx,python,unknown,postgres
