"Rank","Folder","LoadBalancer","Language","Framework","Database","SuccessCount","ErrorCount","Link"
"1","asfernandes-cpp-haproxy-mongoose-lmdb","haproxy","cpp","mongoose","lmdb","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/asfernandes-cpp-haproxy-mongoose-lmdb"
"2","felipemarkson-rust","rust","rust","unknown","rust","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipemarkson-rust"
"3","rodolphovs","nginx","c","unknown","in-memory","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rodolphovs"
"4","maxwell-fs","nginx","c","unknown","in-memory","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/maxwell-fs"
"5","vifonsec4-lb-khd0","custom","c++","unknown","mariadb","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vifonsec4-lb-khd0"
"6","lpicanco-moonshine","custom","rust","Axum","custom","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lpicanco-moonshine"
"7","galodoido","custom","C","unknown","custom","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/galodoido"
"8","rodolphovs-c-db","nginx","c","unknown","custom","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rodolphovs-c-db"
"9","tomer","nginx","rust","unknown","sqlite","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/tomer"
"10","arthur-rust-go-c","custom","rust","unknown","custom","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/arthur-rust-go-c"
"11","andretpc","custom","rust","unknown","mongodb","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/andretpc"
"12","navarro","rinha-load-balancer-tcp","Rust","unknown","espora-db","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/navarro"
"13","levifonseca","nginx","rust","unknown","AlexDB","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/levifonseca"
"14","vifonsec4-nginx","nginx","mariadb","c++","unknown","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vifonsec4-nginx"
"15","joao-peterson","nginx","c","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/joao-peterson"
"16","navarro-espora-embedded","rinha-load-balancer-tcp","Rust","unknown","espora-db","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/navarro-espora-embedded"
"17","renatolfc-🦀","","","","","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/renatolfc-🦀"
"18","rafaelrcamargo","custom","Rust","unknown","custom","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaelrcamargo"
"19","asfernandes-cpp-haproxy-mongoose-pgsql","haproxy","cpp","mongoose","postgresql","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/asfernandes-cpp-haproxy-mongoose-pgsql"
"20","thusspokebieu-activej","nginx","java","unknown","postgres","61380","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/thusspokebieu-activej"
