"Rank","AvgValidacoes","Folder","LoadBalancer","Language","Framework","Database","ErrorCount","Link"
"1","8.089431","navarro","rinha-load-balancer-tcp","Rust","unknown","espora-db","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/navarro"
"2","8.138211","maxwell-fs","nginx","c","unknown","in-memory","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/maxwell-fs"
"3","8.593496","levifonseca","nginx","rust","unknown","AlexDB","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/levifonseca"
"4","8.788618","vifonsec4-lb-khd0","custom","c++","unknown","mariadb","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vifonsec4-lb-khd0"
"5","9.276423","navarro-espora-embedded","rinha-load-balancer-tcp","Rust","unknown","espora-db","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/navarro-espora-embedded"
"6","9.276423","rodolphovs-c-db","nginx","c","unknown","custom","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rodolphovs-c-db"
"7","9.504065","reonardoleis","nginx","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/reonardoleis"
"8","9.544715","lbaesso-dotnet","nginx","dotnet","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lbaesso-dotnet"
"9","9.593496","carloseduard0","nginx","dotnet","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/carloseduard0"
"10","9.626016","rafaelrcamargo","custom","Rust","unknown","custom","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaelrcamargo"
"11","9.731707","rodolphovs","nginx","c","unknown","in-memory","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rodolphovs"
"12","9.764228","rayan-rust","nginx","rust","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rayan-rust"
"13","9.861789","galodoido","custom","C","unknown","custom","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/galodoido"
"14","9.99187","marcosqueiroga","nginx",".NET","unknown","Postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcosqueiroga"
"15","9.99187","thusspokebieu-rust","nginx","rust","ntex","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/thusspokebieu-rust"
"16","10","felipemarkson-rust","rust","rust","unknown","rust","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipemarkson-rust"
"17","10.04065","rodrigocaldeira-c","nginx","C","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rodrigocaldeira-c"
"18","10.178862","renatolfc-🦀","","","","","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/renatolfc-🦀"
"19","10.252033","asfernandes-cpp-haproxy-mongoose-firebird","haproxy","cpp","mongoose","firebird","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/asfernandes-cpp-haproxy-mongoose-firebird"
"20","10.373984","tiagoguerreirodev-go","nginx","golang","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/tiagoguerreirodev-go"
"21","10.747967","thusspokebieu-activej","nginx","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/thusspokebieu-activej"
"22","10.813008","alexandrepossebom-rust","nginx","rust","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/alexandrepossebom-rust"
"23","10.853659","nmessias","nginx","php","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/nmessias"
"24","10.886179","rodolphovs-rs","custom","rust","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rodolphovs-rs"
"25","10.99187","felipe-alcantara-actor-model","custom","Go","unknown","MongoDB","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipe-alcantara-actor-model"
"26","11.097561","allissonazevedo-python","nginx","python","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/allissonazevedo-python"
"27","11.186992","lpicanco-moonshine","custom","rust","Axum","custom","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lpicanco-moonshine"
"28","11.219512","bgskurono","nginx","Golang","Gin","Postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/bgskurono"
"29","11.341463","lpicanco-cpp","nginx","cpp","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lpicanco-cpp"
"30","11.357724","brunocamarggo-golang","nginx","golang","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/brunocamarggo-golang"
"31","11.365854","joao-peterson","nginx","c","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/joao-peterson"
"32","11.479675","isadora-souza-mongodb","nginx","golang","gin","mongodb","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/isadora-souza-mongodb"
"33","11.487805","matheus-trindade","nginx","go","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/matheus-trindade"
"34","11.552846","maxwell","nginx","c","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/maxwell"
"35","11.560976","alan_albuquerque_capivara","custom","dotnet","unknown","custom","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/alan_albuquerque_capivara"
"36","11.585366","murilochianfa","custom","cpp","unknown","mariadb","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/murilochianfa"
"37","11.609756","giovannibassi-rust","envoy","rust","unknown","postgresql","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/giovannibassi-rust"
"38","11.658537","johnpgr_vlang","nginx","V","vweb","PostgreSQL","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/johnpgr_vlang"
"39","11.666667","gasparbarancelli-h2-database","nginx","Quarkus","unknown","H2","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gasparbarancelli-h2-database"
"40","11.723577","gabrielluciano-vertx","nginx","java","unknown","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gabrielluciano-vertx"
"41","11.804878","andarilhoz","nginx","unknown","drogon","postgres","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/andarilhoz"
"42","11.853659","garnizeh-alternative","nginx","go","unknown","sqlite3","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/garnizeh-alternative"
"43","11.869919","asfernandes-cpp-haproxy-mongoose-lmdb","haproxy","cpp","mongoose","lmdb","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/asfernandes-cpp-haproxy-mongoose-lmdb"
