"Rank","AvgTotal","Folder","AvgCredito","AvgDebito","AvgExtrato","AvgValidacoes","LoadBalancer","Language","Framework","Database","SuccessCount","ErrorCount","Link"
"1","0.2455","asfernandes-cpp-haproxy-mongoose-lmdb","0.252971","0.201563","0.333871","11.869919","haproxy","cpp","mongoose","lmdb","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/asfernandes-cpp-haproxy-mongoose-lmdb"
"2","0.330781","felipemarkson-rust","0.372457","0.272844","0.48172","10","rust","rust","unknown","rust","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipemarkson-rust"
"3","0.370649","rodolphovs","0.327744","0.361296","0.40914","9.731707","nginx","c","unknown","in-memory","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rodolphovs"
"4","0.383347","maxwell-fs","0.384542","0.35648","0.430645","8.138211","nginx","c","unknown","in-memory","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/maxwell-fs"
"5","0.384697","vifonsec4-lb-khd0","0.364854","0.371457","0.323118","8.788618","custom","c++","unknown","mariadb","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vifonsec4-lb-khd0"
"6","0.39403","lpicanco-moonshine","0.349899","0.380484","0.440323","11.186992","custom","rust","Axum","custom","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lpicanco-moonshine"
"7","0.400858","galodoido","0.396375","0.369642","0.48871","9.861789","custom","C","unknown","custom","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/galodoido"
"8","0.410793","rodolphovs-c-db","0.396928","0.388553","0.446774","9.276423","nginx","c","unknown","custom","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rodolphovs-c-db"
"9","0.444255","navarro","0.440332","0.421508","0.465591","8.089431","rinha-load-balancer-tcp","Rust","unknown","espora-db","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/navarro"
"10","0.450238","andretpc","0.451208","0.411447","0.506989","11.943089","custom","rust","unknown","mongodb","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/andretpc"
"11","0.45723","levifonseca","0.479053","0.415734","0.570968","8.593496","nginx","rust","unknown","AlexDB","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/levifonseca"
"12","0.473294","joao-peterson","0.527644","0.396167","0.817204","11.365854","nginx","c","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/joao-peterson"
"13","0.477278","vifonsec4-nginx","0.473464","0.442234","0.40914","13.422764","nginx","mariadb","c++","unknown","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vifonsec4-nginx"
"14","0.478969","navarro-espora-embedded","0.444209","0.470449","0.45","9.276423","rinha-load-balancer-tcp","Rust","unknown","espora-db","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/navarro-espora-embedded"
"15","0.484415","renatolfc-🦀","0.443656","0.464145","0.710753","10.178862","","","","","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/renatolfc-🦀"
"16","0.487456","rafaelrcamargo","0.486405","0.456909","0.545699","9.626016","custom","Rust","unknown","custom","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rafaelrcamargo"
"17","0.49861","asfernandes-cpp-haproxy-mongoose-pgsql","0.458359","0.470953","0.596237","14.439024","haproxy","cpp","mongoose","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/asfernandes-cpp-haproxy-mongoose-pgsql"
"18","0.504138","thusspokebieu-activej","0.491944","0.473197","0.616667","10.747967","nginx","java","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/thusspokebieu-activej"
"19","0.515877","asfernandes-cpp-haproxy-mongoose-firebird","0.50146","0.487065","0.640323","10.252033","haproxy","cpp","mongoose","firebird","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/asfernandes-cpp-haproxy-mongoose-firebird"
"20","0.519649","thusspokebieu-rust","0.533031","0.479198","0.612903","9.99187","nginx","rust","ntex","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/thusspokebieu-rust"
"21","0.52895","gabrielluciano-go","0.523766","0.480509","0.636559","15.357724","nginx","go","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gabrielluciano-go"
"22","0.545177","felipe-alcantara-actor-model","0.558661","0.501563","0.640323","10.99187","custom","Go","unknown","MongoDB","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/felipe-alcantara-actor-model"
"23","0.566525","maxwell","0.576687","0.512229","0.889247","11.552846","nginx","c","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/maxwell"
"24","0.597857","lpicanco","0.613746","0.544629","0.780645","12.430894","nginx","rust","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lpicanco"
"25","0.620913","gabrielluciano-vertx","0.64567","0.567121","0.769355","11.723577","nginx","java","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/gabrielluciano-vertx"
"26","0.621205","rayan-rust","0.62573","0.580686","0.832258","9.764228","nginx","rust","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rayan-rust"
"27","0.631985","lpicanco-cpp","0.660725","0.576046","0.809677","11.341463","nginx","cpp","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/lpicanco-cpp"
"28","0.643497","vitorsalgado-custom-lb","0.591641","0.611346","0.695699","18.593496","custom","go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vitorsalgado-custom-lb"
"29","0.649009","tomer","0.384542","0.403026","0.413441","126.227642","nginx","rust","unknown","sqlite","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/tomer"
"30","0.657057","murilochianfa","0.623011","0.626803","0.943011","11.585366","custom","cpp","unknown","mariadb","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/murilochianfa"
"31","0.660358","giovannibassi-rust","0.650755","0.623802","0.81828","11.609756","envoy","rust","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/giovannibassi-rust"
"32","0.669219","bgskurono","0.657855","0.639082","0.735484","11.219512","nginx","Golang","Gin","Postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/bgskurono"
"33","0.672683","rodolphovs-rs","0.713243","0.622289","0.63871","10.886179","custom","rust","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/rodolphovs-rs"
"34","0.707526","juniorleaoo-go","0.704733","0.65353","0.824731","16.796748","custom","go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/juniorleaoo-go"
"35","0.708811","not4rt-rspingora","0.680614","0.682501","0.793548","12.463415","pingora","rust","actix-web","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/not4rt-rspingora"
"36","0.731655","wiliamvj","0.748943","0.682779","0.771505","13.097561","nginx","go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/wiliamvj"
"37","0.735753","vitorsalgado","0.728449","0.679324","0.817742","18.869919","custom","Go","unknown","Postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/vitorsalgado"
"38","0.742452","caravanacloud","0.696425","0.730635","0.706452","12.528455","nginx","unknown","quarkus","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/caravanacloud"
"39","0.757996","carloseduard0","0.737714","0.736082","0.857527","9.593496","nginx","dotnet","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/carloseduard0"
"40","0.763052","giovannibassi-nonpooled","0.763847","0.71591","0.93172","13.284553","custom",".NET","unknown","Postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/giovannibassi-nonpooled"
"41","0.763784","nathanbahiadev__golang","0.7214","0.640116","3.116667","11.902439","nginx","go","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/nathanbahiadev__golang"
"42","0.765702","jrblatt","0.756647","0.715204","1.157527","12.585366","nginx","rust","unknown","postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/jrblatt"
"43","0.768467","carls-rodrigues","0.786455","0.721457","0.684946","14.284553","nginx","rust","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/carls-rodrigues"
"44","0.769442","marcosqueiroga","0.67578","0.710363","2.419355","9.99187","nginx",".NET","unknown","Postgresql","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/marcosqueiroga"
"45","0.7791","brunocamarggo-golang","0.681168","0.704992","2.705376","11.357724","nginx","golang","unknown","postgres","61503","0","https://github.com/zanfranceschi/rinha-de-backend-2024-q1/tree/main/participantes/brunocamarggo-golang"
